DATE,BREED,LICENSE,ID
04/01/2021 12:00:00 AM,AIREDALE TERR,145,2021-04-01-AIREDALE TERR-145
04/01/2021 12:00:00 AM,AKITA,187,2021-04-01-AKITA-187
04/01/2021 12:00:00 AM,ALASK MALAMUTE,294,2021-04-01-ALASK MALAMUTE-294
04/01/2021 12:00:00 AM,ALASKAN HUSKY,683,2021-04-01-ALASKAN HUSKY-683
04/01/2021 12:00:00 AM,AM PIT BULL TER,511,2021-04-01-AM PIT BULL TER-511
04/01/2021 12:00:00 AM,AMER BULLDOG,196,2021-04-01-AMER BULLDOG-196
04/01/2021 12:00:00 AM,AMER ESKIMO,268,2021-04-01-AMER ESKIMO-268
04/01/2021 12:00:00 AM,AMERICAN STAFF,328,2021-04-01-AMERICAN STAFF-328
04/01/2021 12:00:00 AM,AUST CATTLE DOG,1065,2021-04-01-AUST CATTLE DOG-1065
04/01/2021 12:00:00 AM,AUST KELPIE,169,2021-04-01-AUST KELPIE-169
04/01/2021 12:00:00 AM,AUST SHEPHERD,2232,2021-04-01-AUST SHEPHERD-2232
04/01/2021 12:00:00 AM,BASSET HOUND,236,2021-04-01-BASSET HOUND-236
04/01/2021 12:00:00 AM,BEAGLE,1141,2021-04-01-BEAGLE-1141
04/01/2021 12:00:00 AM,BELG MALINOIS,132,2021-04-01-BELG MALINOIS-132
04/01/2021 12:00:00 AM,BERNESE MTN DOG,1389,2021-04-01-BERNESE MTN DOG-1389
04/01/2021 12:00:00 AM,BICHON FRISE,3014,2021-04-01-BICHON FRISE-3014
04/01/2021 12:00:00 AM,BORDER COLLIE,3711,2021-04-01-BORDER COLLIE-3711
04/01/2021 12:00:00 AM,BORDER TERRIER,167,2021-04-01-BORDER TERRIER-167
04/01/2021 12:00:00 AM,BOSTON TERRIER,1214,2021-04-01-BOSTON TERRIER-1214
04/01/2021 12:00:00 AM,BOUV FLANDRES,123,2021-04-01-BOUV FLANDRES-123
04/01/2021 12:00:00 AM,BOXER,1004,2021-04-01-BOXER-1004
04/01/2021 12:00:00 AM,BRITTANY,228,2021-04-01-BRITTANY-228
04/01/2021 12:00:00 AM,BRUSS GRIFFON,137,2021-04-01-BRUSS GRIFFON-137
04/01/2021 12:00:00 AM,BULLDOG,233,2021-04-01-BULLDOG-233
04/01/2021 12:00:00 AM,BULLMASTIFF,197,2021-04-01-BULLMASTIFF-197
04/01/2021 12:00:00 AM,CAIRN TERRIER,297,2021-04-01-CAIRN TERRIER-297
04/01/2021 12:00:00 AM,CANE CORSO,278,2021-04-01-CANE CORSO-278
04/01/2021 12:00:00 AM,CATAHOULA,161,2021-04-01-CATAHOULA-161
04/01/2021 12:00:00 AM,CAVALIER SPAN,1003,2021-04-01-CAVALIER SPAN-1003
04/01/2021 12:00:00 AM,CHIHUAHUA LH,808,2021-04-01-CHIHUAHUA LH-808
04/01/2021 12:00:00 AM,CHIHUAHUA SH,3157,2021-04-01-CHIHUAHUA SH-3157
04/01/2021 12:00:00 AM,CHINESE CRESTED,127,2021-04-01-CHINESE CRESTED-127
04/01/2021 12:00:00 AM,CHINESE SHARPEI,154,2021-04-01-CHINESE SHARPEI-154
04/01/2021 12:00:00 AM,CHOW CHOW,174,2021-04-01-CHOW CHOW-174
04/01/2021 12:00:00 AM,COCKER SPAN,2217,2021-04-01-COCKER SPAN-2217
04/01/2021 12:00:00 AM,COLLIE ROUGH,576,2021-04-01-COLLIE ROUGH-576
04/01/2021 12:00:00 AM,COLLIE SMOOTH,139,2021-04-01-COLLIE SMOOTH-139
04/01/2021 12:00:00 AM,COTON DE TULEAR,129,2021-04-01-COTON DE TULEAR-129
04/01/2021 12:00:00 AM,DACHSHUND LH,280,2021-04-01-DACHSHUND LH-280
04/01/2021 12:00:00 AM,DACHSHUND WH,114,2021-04-01-DACHSHUND WH-114
04/01/2021 12:00:00 AM,DACHSHUND,1481,2021-04-01-DACHSHUND-1481
04/01/2021 12:00:00 AM,DOBERMAN PINSCH,352,2021-04-01-DOBERMAN PINSCH-352
04/01/2021 12:00:00 AM,ENG BULLDOG,320,2021-04-01-ENG BULLDOG-320
04/01/2021 12:00:00 AM,ENG SPRNGR SPAN,341,2021-04-01-ENG SPRNGR SPAN-341
04/01/2021 12:00:00 AM,FRENCH BULLDOG,1332,2021-04-01-FRENCH BULLDOG-1332
04/01/2021 12:00:00 AM,GERM SH POINT,324,2021-04-01-GERM SH POINT-324
04/01/2021 12:00:00 AM,GERM SHEPHERD,6435,2021-04-01-GERM SHEPHERD-6435
04/01/2021 12:00:00 AM,GOLDEN RETR,4606,2021-04-01-GOLDEN RETR-4606
04/01/2021 12:00:00 AM,GREAT DANE,414,2021-04-01-GREAT DANE-414
04/01/2021 12:00:00 AM,GREAT PYRENEES,708,2021-04-01-GREAT PYRENEES-708
04/01/2021 12:00:00 AM,GREYHOUND,286,2021-04-01-GREYHOUND-286
04/01/2021 12:00:00 AM,HAVANESE,1635,2021-04-01-HAVANESE-1635
04/01/2021 12:00:00 AM,HOUND,135,2021-04-01-HOUND-135
04/01/2021 12:00:00 AM,ITAL GREYHOUND,115,2021-04-01-ITAL GREYHOUND-115
